Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
SCJ,102.22,62.71,0.0,-15.64,95.0,反彈,⏳ 觀望,指數基金
SCL,52.66,76.07,0.0,-38.58,40.0,逆轉,⏳ 觀望,Basic Materials
SCSC,40.43,67.46,0.0,-37.37,40.0,牛勢,⏳ 觀望,科技
SCVL,18.9,64.84,56.63,-48.4,15.0,牛勢,⏳ 觀望,消費
SCZ,82.95,66.76,62.64,-13.71,76.0,反彈,⏳ 觀望,指數基金
SDCI,28.06,70.63,75.5,-16.54,26.0,牛勢,⏳ 觀望,指數基金
SDS,62.4,68.22,62.53,-24.62,12.0,止跌回升,⏳ 觀望,指數基金
SDVY,42.44,81.41,63.57,-15.72,45.0,逆轉,⏳ 觀望,指數基金
SEDG,47.24,63.96,64.04,-104.95,35.0,牛勢,⏳ 觀望,科技
SEG,22.73,82.85,0.0,-36.55,22.5,牛勢,⏳ 觀望,房地產
SEIC,91.07,52.97,62.49,-22.05,85.0,牛勢,⏳ 觀望,金融
SERV,9.88,64.52,59.12,-93.85,9.0,牛勢,⏳ 觀望,工業
SEZL,79.85,66.99,68.12,-94.62,50.0,牛勢,⏳ 觀望,金融
SFBS,79.73,70.64,58.25,-31.7,55.0,逆轉,⏳ 觀望,金融
SFD,28.73,59.11,63.7,-26.15,22.5,牛勢,⏳ 觀望,Consumer Defensive
SFM,72.3,55.57,64.29,-44.68,65.0,逆轉,⏳ 觀望,Consumer Defensive
SGC,11.74,62.42,0.0,-40.72,7.5,牛勢,⏳ 觀望,消費
SGDM,76.27,64.86,0.0,-44.86,72.0,逆轉,⏳ 觀望,指數基金
SHC,15.59,57.1,66.43,-37.11,15.0,牛勢,⏳ 觀望,醫療
SHEN,16.19,64.74,61.82,-40.08,10.0,牛勢,🎯 進攻獵人 (BC),通訊
SHLS,7.81,69.44,49.74,-89.26,5.0,牛勢,⏳ 觀望,科技
SHOP,124.0,61.5,43.57,-53.4,100.0,牛勢,⏳ 觀望,科技
SHV,110.36,76.79,47.23,-0.17,111.0,止跌回升,⏳ 觀望,指數基金
SHW,336.31,62.48,57.94,-23.88,310.0,逆轉,⏳ 觀望,原物料
SHYG,42.72,62.35,59.18,-3.24,41.0,止跌回升,⏳ 觀望,指數基金
SIBN,13.15,84.3,67.96,-47.06,10.0,逆轉,⏳ 觀望,醫療
SIGI,85.27,73.58,72.46,-30.5,70.0,逆轉,⏳ 觀望,金融
SII,129.87,66.54,69.0,-39.46,100.0,逆轉,⏳ 觀望,金融
SION,39.24,42.53,61.5,-80.33,30.0,牛勢,⏳ 觀望,醫療
SIVR,71.78,67.17,58.89,-59.77,68.0,反彈,⏳ 觀望,指數基金
SIXG,81.32,71.13,0.0,-23.7,67.0,牛勢,⏳ 觀望,指數基金
SIZE,169.32,76.9,0.0,-12.92,105.0,反彈,⏳ 觀望,指數基金
SJNK,25.22,66.49,68.76,-3.3,23.0,止跌回升,⏳ 觀望,指數基金
SKM,37.29,64.88,74.06,-31.88,22.5,牛勢,⏳ 觀望,通訊
SKT,36.77,53.11,63.7,-22.32,32.0,逆轉,⏳ 觀望,房地產
SKWD,45.28,59.27,64.76,-33.84,45.0,逆轉,⏳ 觀望,金融
SKYW,83.6,65.03,62.49,-34.88,115.0,止跌回升,⏳ 觀望,工業
SLB,55.17,63.3,56.13,-32.84,35.0,牛勢,⏳ 觀望,能源
SLF,70.72,56.65,71.77,-19.38,60.0,逆轉,⏳ 觀望,金融
SLM,23.46,59.5,60.97,-38.15,21.0,牛勢,⏳ 觀望,金融
SLP,14.6,54.38,62.63,-65.47,10.0,牛勢,⏳ 觀望,醫療
SLRC,15.46,77.7,51.16,-18.9,12.5,逆轉,⏳ 觀望,金融
SLS,4.91,56.08,63.62,-88.25,9.5,牛勢,⏳ 觀望,醫療
SLYG,107.07,40.19,61.17,-17.64,90.0,逆轉,⏳ 觀望,指數基金
SLYV,102.43,53.21,71.01,-18.86,94.0,逆轉,⏳ 觀望,指數基金
SM,29.07,61.41,61.23,-49.1,25.0,牛勢,⏳ 觀望,能源
SMBC,67.42,64.45,0.0,-25.51,30.0,逆轉,⏳ 觀望,金融
SMG,67.7,68.09,58.28,-35.96,47.5,逆轉,⏳ 觀望,Basic Materials
SMHX,50.74,69.1,0.0,-31.13,37.0,牛勢,⏳ 觀望,指數基金
SMIN,66.7,65.25,63.2,-18.6,64.59,逆轉,⏳ 觀望,指數基金
SMLF,82.33,66.03,53.72,-17.41,81.0,逆轉,⏳ 觀望,指數基金
SMN,10.64,75.86,0.0,-32.54,11.0,反彈,⏳ 觀望,指數基金
SMP,37.52,63.21,0.0,-32.43,30.0,逆轉,⏳ 觀望,消費
